카드종류,신용카드사명,신용카드번호,승인일자,사업자등록번호,거래처명,거래처유형,공급가액,세액,봉사료,합계금액,부가세공제여부,부가세유형,계정과목,품목(적요),수 량,단 가,대표자,업 태,종 목,사업장주소,부서/사원
1,,본인77*,2025/07/07,605-12-22613,춘하추동밀면,,24545,2455,,27000,공제,57,811,"춘하추동밀면 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/07,404-85-11763,(주)푸드엔 서면지점,,36773,3677,,40450,공제,57,811,"(주)푸드엔 서면지점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/07,105-87-65162,쿠팡,,47136,4714,,51850,공제,57,811,"쿠팡 카드사용 (할부3개월)",,,,,,,,
1,,본인77*,2025/07/07,105-87-65162,쿠팡,,16272,1628,,17900,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/07,313-87-00979,롯데시네마 광복 (티켓 외),,10000,1000,,11000,공제,57,811,"롯데시네마 광복 (티켓 외) 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/08,621-06-58072,경보관,,10000,1000,,11000,공제,57,811,"경보관 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/08,691-05-00780,세븐일레븐 초량오거리점,,7363,737,,8100,공제,57,811,"세븐일레븐 초량오거리점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/08,656-18-01942,하이오커피 범내골점,,1818,182,,2000,공제,57,811,"하이오커피 범내골점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/08,602-85-16703,롯데백광복 ) 배럴,,143636,14364,,158000,공제,57,811,"롯데백광복 ) 배럴 카드사용 (할부3개월)",,,,,,,,
1,,본인77*,2025/07/08,602-85-16703,롯데백광복 ) 소우조우임델,,5090,510,,5600,공제,57,811,"롯데백광복 ) 소우조우임델 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/09,617-29-31068,빅세일마트,,17454,1746,,19200,공제,57,811,"빅세일마트 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/09,533-28-01255,아이슬란드 할인점,,6909,691,,7600,공제,57,811,"아이슬란드 할인점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/09,105-87-65162,쿠팡,,60236,6024,,66260,공제,57,811,"쿠팡 카드사용 (할부3개월)",,,,,,,,
1,,본인77*,2025/07/09,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/09,460-04-01612,CU 뉴범천한라점,,45363,4537,,49900,공제,57,811,"CU 뉴범천한라점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/09,119-81-84716,롯데지알에스(주),,4909,491,,5400,공제,57,811,"롯데지알에스(주) 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/09,119-81-84716,(주)엘케이한성 동래지사,,8636,864,,9500,공제,57,811,"(주)엘케이한성 동래지사 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/09,815-81-00527,에이블리코퍼레이션,,4272,428,,4700,공제,57,811,"에이블리코퍼레이션 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/10,621-09-23574,개인택시 37 바 4267,,18836,1884,,20720,공제,57,812,"개인택시 37 바 4267 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/10,541-85-00911,(주)지오에너지 세원주유소,,54545,5455,,60000,공제,57,812,"(주)지오에너지 세원주유소 카드사용 (할부3개월)",,,,,,,,
1,,본인77*,2025/07/10,116-39-00488,만다린,,20454,2046,,22500,공제,57,811,"만다린 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/10,105-87-65162,쿠팡,,32000,3200,,35200,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
